osm_id,OCC_TYPE
298420409,education
298424598,retail_food
298424599,residential
298424608,office
298424614,residential
298424616,office
298431259,residential
298431260,office
298431261,retail_food
298431264,residential
298431267,residential
298431268,residential
298431272,retail_food
298431273,retail_food
298431274,industrial
298433487,office
298433488,office
298433490,residential
298433516,residential
298434833,civic_transit
298449859,industrial
298449860,residential
298449868,residential
298449870,civic_transit
298449871,office
298449872,residential
298449887,residential
298449890,residential
298449898,office
298449899,office
298451516,industrial
298451517,industrial
298451518,industrial
298451523,office
298453192,residential
298453197,residential
298453204,office
298453205,office
298453206,residential
298453207,civic_transit
298453208,office
298453209,office
298453222,industrial
298453223,industrial
298454177,industrial
298454193,retail_food
298454195,retail_food
298454197,industrial
298454199,industrial
298454213,office
298454215,retail_food
298454231,office
298455684,office
298458432,residential
298458468,residential
298459852,residential
298459855,education
298460101,residential
298460102,residential
298460377,residential
298460378,residential
298460379,residential
298460386,civic_transit
298460615,residential
298460616,retail_food
298460617,residential
298460618,residential
298460619,residential
298460620,residential
298460970,industrial
298460975,residential
298463033,residential
298885432,education
299506630,industrial
299506631,industrial
299506632,industrial
299506633,retail_food
299506634,industrial
299506635,residential
299506636,residential
299506637,office
299506638,office
299506639,office
299510274,office
299510290,other
299512635,education
299519633,office
299519634,office
299519635,residential
299587980,residential
299780357,retail_food
299780358,retail_food
299780359,retail_food
299780360,retail_food
299780362,retail_food
299780364,retail_food
299780365,office
299780366,office
299780368,industrial
299780369,industrial
299780370,industrial
299780371,office
299780374,residential
299781213,healthcare
299781214,residential
301019642,office
301604751,retail_food
301604752,office
301930176,residential
302111241,education
303858008,retail_food
304442657,industrial
304452639,retail_food
304452640,residential
304452641,residential
4058221,residential
304544934,civic_transit
304544938,office
304544939,retail_food
304544940,retail_food
304544941,residential
304547416,residential
304722739,residential
304722742,education
304722759,education
4064407,office
307057787,civic_transit
307350813,education
307650218,office
307650311,office
307650989,industrial
307650991,residential
307651253,retail_food
307664869,residential
307664870,retail_food
307664871,residential
308905312,residential
4140259,residential
310270718,civic_transit
314403990,residential
315366533,residential
315840112,retail_food
315840113,retail_food
315840114,residential
315840115,civic_transit
315840116,education
316240452,residential
316240453,religious
316316386,retail_food
316316392,residential
316316400,civic_transit
316316410,other
316316411,other
316316413,residential
316318394,civic_transit
316318395,residential
316467084,hospitality
316467085,residential
316467086,residential
316626439,industrial
317270406,office
317274332,other
317275317,office
317281998,retail_food
317282921,office
317283285,residential
318176110,residential
318182825,industrial
318183258,residential
318184141,residential
318184627,residential
318185550,retail_food
318186193,office
318187030,residential
318188471,industrial
318280078,residential
318283091,hospitality
318283093,religious
318312597,industrial
318313762,residential
318316477,residential
318316775,residential
318317114,residential
318318108,retail_food
318320009,residential
318320227,residential
318320644,office
318320760,residential
318332021,residential
318332176,residential
318334553,residential
318334711,retail_food
318337286,civic_transit
318338405,retail_food
318374771,office
318513718,residential
318513719,healthcare
318517133,residential
318783827,civic_transit
318791236,civic_transit
318792235,civic_transit
318793605,civic_transit
318964897,civic_transit
318974835,civic_transit
318976061,residential
318978877,civic_transit
318987482,civic_transit
318987726,civic_transit
319018201,civic_transit
319098935,civic_transit
319103082,civic_transit
319106551,civic_transit
319119324,civic_transit
319126230,civic_transit
319170627,civic_transit
319172987,civic_transit
319307986,civic_transit
319309068,civic_transit
319317829,civic_transit
319318618,civic_transit
319321882,civic_transit
319323286,civic_transit
319331711,civic_transit
319421589,residential
319423244,civic_transit
319430998,civic_transit
319489761,civic_transit
319490322,civic_transit
319492070,civic_transit
319494646,civic_transit
319499542,civic_transit
319572812,residential
319575400,civic_transit
319587483,civic_transit
319596622,residential
319630403,civic_transit
319630723,civic_transit
319633630,civic_transit
319635994,civic_transit
319637832,civic_transit
319639890,civic_transit
319641192,civic_transit
319645366,civic_transit
319647076,civic_transit
319669856,retail_food
319715061,civic_transit
319716309,civic_transit
319719907,civic_transit
319722008,civic_transit
319739123,civic_transit
319740010,civic_transit
319748958,civic_transit
319960169,residential
319960170,residential
319960171,residential
319960172,residential
319960173,residential
319960174,residential
319960175,residential
319960176,residential
319960177,residential
319960179,residential
319960180,residential
319960181,residential
319960182,residential
319960183,residential
319960184,residential
319960192,residential
